Query ID,Best ID,Search DB,,
ASV_1501,No match,COI SPECIES DATABASE,,
ASV_1502,No match,COI SPECIES DATABASE,,
ASV_1503,No match,COI SPECIES DATABASE,,
ASV_1504,No match,COI SPECIES DATABASE,,
ASV_1505,No match,COI SPECIES DATABASE,,
ASV_1506,Wolbachia endosymbiont of Formicidae,COI SPECIES DATABASE,99.62,97.19
ASV_1507,No match,COI SPECIES DATABASE,,
ASV_1508,No match,COI SPECIES DATABASE,,
ASV_1509,No match,COI SPECIES DATABASE,,
ASV_1510,No match,COI SPECIES DATABASE,,
ASV_1511,No match,COI SPECIES DATABASE,,
ASV_1512,No match,COI SPECIES DATABASE,,
ASV_1513,No match,COI SPECIES DATABASE,,
ASV_1514,No match,COI SPECIES DATABASE,,
ASV_1515,No match,COI SPECIES DATABASE,,
ASV_1516,2017,COI SPECIES DATABASE,98.02,85.49
ASV_1517,2012,COI SPECIES DATABASE,99.68,89.97
ASV_1518,No match,COI SPECIES DATABASE,,
ASV_1519,Conocephalus saltator,COI SPECIES DATABASE,100,85.11
ASV_1520,No match,COI SPECIES DATABASE,,
ASV_1521,No match,COI SPECIES DATABASE,,
ASV_1522,No match,COI SPECIES DATABASE,,
ASV_1523,No match,COI SPECIES DATABASE,,
ASV_1524,Heteropoda venatoria,COI SPECIES DATABASE,100,90.53
ASV_1525,Fusarium redolens,COI SPECIES DATABASE,98.71,86.47
ASV_1526,Heteropoda venatoria,COI SPECIES DATABASE,100,89.72
ASV_1527,No match,COI SPECIES DATABASE,,
ASV_1528,No match,COI SPECIES DATABASE,,
ASV_1529,Heteropoda venatoria,COI SPECIES DATABASE,100,90.91
ASV_1530,Wolbachia sp. Anacrusis nephrodes,COI SPECIES DATABASE,99.62,98.81
ASV_1531,No match,COI SPECIES DATABASE,,
ASV_1532,No match,COI SPECIES DATABASE,,
ASV_1533,No match,COI SPECIES DATABASE,,
ASV_1534,No match,COI SPECIES DATABASE,,
ASV_1535,No match,COI SPECIES DATABASE,,
ASV_1536,No match,COI SPECIES DATABASE,,
ASV_1537,No match,COI SPECIES DATABASE,,
ASV_1538,No match,COI SPECIES DATABASE,,
ASV_1539,No match,COI SPECIES DATABASE,,
ASV_1540,No match,COI SPECIES DATABASE,,
ASV_1541,No match,COI SPECIES DATABASE,,
ASV_1542,No match,COI SPECIES DATABASE,,
ASV_1543,No match,COI SPECIES DATABASE,,
ASV_1544,No match,COI SPECIES DATABASE,,
ASV_1545,No match,COI SPECIES DATABASE,,
ASV_1546,No match,COI SPECIES DATABASE,,
ASV_1547,No match,COI SPECIES DATABASE,,
ASV_1548,No match,COI SPECIES DATABASE,,
ASV_1549,No match,COI SPECIES DATABASE,,
ASV_1550,No match,COI SPECIES DATABASE,,
ASV_1551,No match,COI SPECIES DATABASE,,
ASV_1552,Penicillium citrinum,COI SPECIES DATABASE,97.74,94.35
ASV_1553,No match,COI SPECIES DATABASE,,
ASV_1554,Neoscona theisi,COI SPECIES DATABASE,98.74,95.6
ASV_1555,Nylanderia bourbonica,COI SPECIES DATABASE,100,94.96
ASV_1556,No match,COI SPECIES DATABASE,,
ASV_1557,No match,COI SPECIES DATABASE,,
ASV_1558,Neoscona theisi,COI SPECIES DATABASE,99.63,97.09
ASV_1559,No match,COI SPECIES DATABASE,,
ASV_1560,Neoscona theisi,COI SPECIES DATABASE,98.77,95.68
ASV_1561,No match,COI SPECIES DATABASE,,
ASV_1562,Pantala flavescens,COI SPECIES DATABASE,97.09,96.12
ASV_1563,No match,COI SPECIES DATABASE,,
ASV_1564,No match,COI SPECIES DATABASE,,
ASV_1565,No match,COI SPECIES DATABASE,,
ASV_1566,No match,COI SPECIES DATABASE,,
ASV_1567,No match,COI SPECIES DATABASE,,
ASV_1568,No match,COI SPECIES DATABASE,,
ASV_1569,No match,COI SPECIES DATABASE,,
ASV_1570,No match,COI SPECIES DATABASE,,
ASV_1571,No match,COI SPECIES DATABASE,,
ASV_1572,No match,COI SPECIES DATABASE,,
ASV_1573,No match,COI SPECIES DATABASE,,
ASV_1574,No match,COI SPECIES DATABASE,,
ASV_1575,No match,COI SPECIES DATABASE,,
ASV_1576,No match,COI SPECIES DATABASE,,
ASV_1577,No match,COI SPECIES DATABASE,,
ASV_1578,No match,COI SPECIES DATABASE,,
ASV_1579,No match,COI SPECIES DATABASE,,
ASV_1580,No match,COI SPECIES DATABASE,,
ASV_1581,Heteropoda venatoria,COI SPECIES DATABASE,100,90.76
ASV_1582,No match,COI SPECIES DATABASE,,
ASV_1583,No match,COI SPECIES DATABASE,,
ASV_1584,No match,COI SPECIES DATABASE,,
ASV_1585,No match,COI SPECIES DATABASE,,
ASV_1586,No match,COI SPECIES DATABASE,,
ASV_1587,No match,COI SPECIES DATABASE,,
ASV_1588,No match,COI SPECIES DATABASE,,
ASV_1589,No match,COI SPECIES DATABASE,,
ASV_1590,No match,COI SPECIES DATABASE,,
ASV_1591,No match,COI SPECIES DATABASE,,
ASV_1592,No match,COI SPECIES DATABASE,,
ASV_1593,No match,COI SPECIES DATABASE,,
ASV_1594,No match,COI SPECIES DATABASE,,
ASV_1595,No match,COI SPECIES DATABASE,,
ASV_1596,No match,COI SPECIES DATABASE,,
ASV_1597,No match,COI SPECIES DATABASE,,
ASV_1598,No match,COI SPECIES DATABASE,,
ASV_1599,No match,COI SPECIES DATABASE,,
ASV_1600,No match,COI SPECIES DATABASE,,
