Query ID,Best ID,Search DB,,
ASV_801,No match,COI FULL DATABASE (includes records without species designation),,
ASV_802,No match,COI FULL DATABASE (includes records without species designation),,
ASV_803,Pantala flavescens,COI FULL DATABASE (includes records without species designation),99.68,98.71
ASV_804,No match,COI FULL DATABASE (includes records without species designation),,
ASV_805,No match,COI FULL DATABASE (includes records without species designation),,
ASV_806,No match,COI FULL DATABASE (includes records without species designation),,
ASV_807,No match,COI FULL DATABASE (includes records without species designation),,
ASV_808,Pycnoscelus surinamensis,COI FULL DATABASE (includes records without species designation),99.05,85.76
ASV_809,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.35,90.12
ASV_810,No match,COI FULL DATABASE (includes records without species designation),,
ASV_811,No match,COI FULL DATABASE (includes records without species designation),,
ASV_812,No match,COI FULL DATABASE (includes records without species designation),,
ASV_813,No match,COI FULL DATABASE (includes records without species designation),,
ASV_814,No match,COI FULL DATABASE (includes records without species designation),,
ASV_815,No match,COI FULL DATABASE (includes records without species designation),,
ASV_816,No match,COI FULL DATABASE (includes records without species designation),,
ASV_817,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.02
ASV_818,Mus musculus,COI FULL DATABASE (includes records without species designation),100,99.34
ASV_819,Araneae,COI FULL DATABASE (includes records without species designation),99.33,84.85
ASV_820,No match,COI FULL DATABASE (includes records without species designation),,
ASV_821,No match,COI FULL DATABASE (includes records without species designation),,
ASV_822,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.29
ASV_823,No match,COI FULL DATABASE (includes records without species designation),,
ASV_824,No match,COI FULL DATABASE (includes records without species designation),,
ASV_825,No match,COI FULL DATABASE (includes records without species designation),,
ASV_826,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.41
ASV_827,No match,COI FULL DATABASE (includes records without species designation),,
ASV_828,No match,COI FULL DATABASE (includes records without species designation),,
ASV_829,No match,COI FULL DATABASE (includes records without species designation),,
ASV_830,No match,COI FULL DATABASE (includes records without species designation),,
ASV_831,No match,COI FULL DATABASE (includes records without species designation),,
ASV_832,No match,COI FULL DATABASE (includes records without species designation),,
ASV_833,No match,COI FULL DATABASE (includes records without species designation),,
ASV_834,No match,COI FULL DATABASE (includes records without species designation),,
ASV_835,No match,COI FULL DATABASE (includes records without species designation),,
ASV_836,No match,COI FULL DATABASE (includes records without species designation),,
ASV_837,No match,COI FULL DATABASE (includes records without species designation),,
ASV_838,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.07
ASV_839,Sula sula,COI FULL DATABASE (includes records without species designation),100,88.35
ASV_840,No match,COI FULL DATABASE (includes records without species designation),,
ASV_841,No match,COI FULL DATABASE (includes records without species designation),,
ASV_842,No match,COI FULL DATABASE (includes records without species designation),,
ASV_843,No match,COI FULL DATABASE (includes records without species designation),,
ASV_844,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.59
ASV_845,No match,COI FULL DATABASE (includes records without species designation),,
ASV_846,No match,COI FULL DATABASE (includes records without species designation),,
ASV_847,No match,COI FULL DATABASE (includes records without species designation),,
ASV_848,No match,COI FULL DATABASE (includes records without species designation),,
ASV_849,No match,COI FULL DATABASE (includes records without species designation),,
ASV_850,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
