Query ID,Best ID,Search DB,,
ASV_201,No match,COI FULL DATABASE (includes records without species designation),,
ASV_202,No match,COI FULL DATABASE (includes records without species designation),,
ASV_203,No match,COI FULL DATABASE (includes records without species designation),,
ASV_204,No match,COI FULL DATABASE (includes records without species designation),,
ASV_205,No match,COI FULL DATABASE (includes records without species designation),,
ASV_206,No match,COI FULL DATABASE (includes records without species designation),,
ASV_207,No match,COI FULL DATABASE (includes records without species designation),,
ASV_208,No match,COI FULL DATABASE (includes records without species designation),,
ASV_209,Psocodea,COI FULL DATABASE (includes records without species designation),100,87.7
ASV_210,Lepidoptera,COI FULL DATABASE (includes records without species designation),100,89.97
ASV_211,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.69
ASV_212,No match,COI FULL DATABASE (includes records without species designation),,
ASV_213,No match,COI FULL DATABASE (includes records without species designation),,
ASV_214,No match,COI FULL DATABASE (includes records without species designation),,
ASV_215,No match,COI FULL DATABASE (includes records without species designation),,
ASV_216,No match,COI FULL DATABASE (includes records without species designation),,
ASV_217,Echmepteryx madagascariensis,COI FULL DATABASE (includes records without species designation),100,85.88
ASV_218,Agonoxena argaula,COI FULL DATABASE (includes records without species designation),99.68,89.64
ASV_219,No match,COI FULL DATABASE (includes records without species designation),,
ASV_220,No match,COI FULL DATABASE (includes records without species designation),,
ASV_221,No match,COI FULL DATABASE (includes records without species designation),,
ASV_222,Araneae,COI FULL DATABASE (includes records without species designation),97.31,84.47
ASV_223,No match,COI FULL DATABASE (includes records without species designation),,
ASV_224,No match,COI FULL DATABASE (includes records without species designation),,
ASV_225,Entomobryomorpha,COI FULL DATABASE (includes records without species designation),98.75,93.79
ASV_226,No match,COI FULL DATABASE (includes records without species designation),,
ASV_227,Nylanderia sp. CHR01,COI FULL DATABASE (includes records without species designation),100,91.59
ASV_228,No match,COI FULL DATABASE (includes records without species designation),,
ASV_229,No match,COI FULL DATABASE (includes records without species designation),,
ASV_230,No match,COI FULL DATABASE (includes records without species designation),,
ASV_231,Styringomyia didyma,COI FULL DATABASE (includes records without species designation),100,91.76
ASV_232,Diptera,COI FULL DATABASE (includes records without species designation),100,80.58
ASV_233,Diptera,COI FULL DATABASE (includes records without species designation),100,99.68
ASV_234,No match,COI FULL DATABASE (includes records without species designation),,
ASV_235,Araneae,COI FULL DATABASE (includes records without species designation),97.31,85.11
