Query ID,Best ID,Search DB,,
ASV_1,Orthoptera,COI FULL DATABASE (includes records without species designation),100,85.76
ASV_2,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_3,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),100,81.55
ASV_4,No match,COI FULL DATABASE (includes records without species designation),,
ASV_5,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),100,81.94
ASV_6,No match,COI FULL DATABASE (includes records without species designation),,
ASV_7,No match,COI FULL DATABASE (includes records without species designation),,
ASV_8,No match,COI FULL DATABASE (includes records without species designation),,
ASV_9,No match,COI FULL DATABASE (includes records without species designation),,
ASV_10,No match,COI FULL DATABASE (includes records without species designation),,
ASV_11,No match,COI FULL DATABASE (includes records without species designation),,
ASV_12,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.08
ASV_13,No match,COI FULL DATABASE (includes records without species designation),,
ASV_14,No match,COI FULL DATABASE (includes records without species designation),,
ASV_15,No match,COI FULL DATABASE (includes records without species designation),,
ASV_16,No match,COI FULL DATABASE (includes records without species designation),,
ASV_17,No match,COI FULL DATABASE (includes records without species designation),,
ASV_18,No match,COI FULL DATABASE (includes records without species designation),,
ASV_19,Orthoptera,COI FULL DATABASE (includes records without species designation),99.52,85.76
ASV_20,No match,COI FULL DATABASE (includes records without species designation),,
ASV_21,No match,COI FULL DATABASE (includes records without species designation),,
ASV_22,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.41
ASV_23,Araneae,COI FULL DATABASE (includes records without species designation),100,85.44
ASV_24,Mus musculus,COI FULL DATABASE (includes records without species designation),100,99.35
ASV_25,Orthoptera,COI FULL DATABASE (includes records without species designation),100,85.76
ASV_26,2012,COI FULL DATABASE (includes records without species designation),99.68,90.29
ASV_27,Rickettsiales,COI FULL DATABASE (includes records without species designation),99.25,96.42
ASV_28,Psocodea,COI FULL DATABASE (includes records without species designation),100,100
ASV_29,Proteobacteria Insecta ,COI FULL DATABASE (includes records without species designation),100,98.8
ASV_30,No match,COI FULL DATABASE (includes records without species designation),,
ASV_31,No match,COI FULL DATABASE (includes records without species designation),,
ASV_32,No match,COI FULL DATABASE (includes records without species designation),,
ASV_33,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.75,90.91
ASV_34,No match,COI FULL DATABASE (includes records without species designation),,
ASV_35,No match,COI FULL DATABASE (includes records without species designation),,
ASV_36,No match,COI FULL DATABASE (includes records without species designation),,
ASV_37,No match,COI FULL DATABASE (includes records without species designation),,
ASV_38,No match,COI FULL DATABASE (includes records without species designation),,
ASV_39,No match,COI FULL DATABASE (includes records without species designation),,
ASV_40,No match,COI FULL DATABASE (includes records without species designation),,
ASV_41,Agonoxena argaula,COI FULL DATABASE (includes records without species designation),100,89.32
ASV_42,No match,COI FULL DATABASE (includes records without species designation),,
ASV_43,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),100,81.55
ASV_44,No match,COI FULL DATABASE (includes records without species designation),,
ASV_45,Entomobryomorpha,COI FULL DATABASE (includes records without species designation),99.02,94.12
ASV_46,Entomobryomorpha,COI FULL DATABASE (includes records without species designation),99.01,81.89
ASV_47,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_48,No match,COI FULL DATABASE (includes records without species designation),,
ASV_49,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),100,81.94
ASV_50,No match,COI FULL DATABASE (includes records without species designation),,
ASV_51,No match,COI FULL DATABASE (includes records without species designation),,
ASV_52,Araneae,COI FULL DATABASE (includes records without species designation),98.06,90.42
ASV_53,No match,COI FULL DATABASE (includes records without species designation),,
ASV_54,2012,COI FULL DATABASE (includes records without species designation),100,90.61
ASV_55,No match,COI FULL DATABASE (includes records without species designation),,
ASV_56,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.63,97.09
ASV_57,No match,COI FULL DATABASE (includes records without species designation),,
ASV_58,No match,COI FULL DATABASE (includes records without species designation),,
ASV_59,No match,COI FULL DATABASE (includes records without species designation),,
ASV_60,Orthoptera,COI FULL DATABASE (includes records without species designation),100,85.6
ASV_61,No match,COI FULL DATABASE (includes records without species designation),,
ASV_62,No match,COI FULL DATABASE (includes records without species designation),,
ASV_63,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_64,No match,COI FULL DATABASE (includes records without species designation),,
ASV_65,No match,COI FULL DATABASE (includes records without species designation),,
ASV_66,No match,COI FULL DATABASE (includes records without species designation),,
ASV_67,No match,COI FULL DATABASE (includes records without species designation),,
ASV_68,No match,COI FULL DATABASE (includes records without species designation),,
ASV_69,No match,COI FULL DATABASE (includes records without species designation),,
ASV_70,No match,COI FULL DATABASE (includes records without species designation),,
ASV_71,No match,COI FULL DATABASE (includes records without species designation),,
ASV_72,No match,COI FULL DATABASE (includes records without species designation),,
ASV_73,No match,COI FULL DATABASE (includes records without species designation),,
ASV_74,No match,COI FULL DATABASE (includes records without species designation),,
ASV_75,No match,COI FULL DATABASE (includes records without species designation),,
ASV_76,No match,COI FULL DATABASE (includes records without species designation),,
ASV_77,No match,COI FULL DATABASE (includes records without species designation),,
ASV_78,Symphypleona,COI FULL DATABASE (includes records without species designation),99.68,81.94
ASV_79,No match,COI FULL DATABASE (includes records without species designation),,
ASV_80,No match,COI FULL DATABASE (includes records without species designation),,
ASV_81,Scholastes lonchifer,COI FULL DATABASE (includes records without species designation),100,88.45
ASV_82,No match,COI FULL DATABASE (includes records without species designation),,
ASV_83,No match,COI FULL DATABASE (includes records without species designation),,
ASV_84,No match,COI FULL DATABASE (includes records without species designation),,
ASV_85,No match,COI FULL DATABASE (includes records without species designation),,
ASV_86,No match,COI FULL DATABASE (includes records without species designation),,
ASV_87,No match,COI FULL DATABASE (includes records without species designation),,
ASV_88,No match,COI FULL DATABASE (includes records without species designation),,
ASV_89,No match,COI FULL DATABASE (includes records without species designation),,
ASV_90,No match,COI FULL DATABASE (includes records without species designation),,
ASV_91,Conoderus pallipes,COI FULL DATABASE (includes records without species designation),100,87.15
ASV_92,No match,COI FULL DATABASE (includes records without species designation),,
