Query ID,Best ID,Search DB,,
ASV_402,No match,COI FULL DATABASE (includes records without species designation),,
ASV_403,No match,COI FULL DATABASE (includes records without species designation),,
ASV_404,No match,COI FULL DATABASE (includes records without species designation),,
ASV_405,No match,COI FULL DATABASE (includes records without species designation),,
ASV_406,No match,COI FULL DATABASE (includes records without species designation),,
ASV_407,No match,COI FULL DATABASE (includes records without species designation),,
ASV_408,No match,COI FULL DATABASE (includes records without species designation),,
ASV_409,No match,COI FULL DATABASE (includes records without species designation),,
ASV_410,No match,COI FULL DATABASE (includes records without species designation),,
ASV_411,No match,COI FULL DATABASE (includes records without species designation),,
ASV_412,No match,COI FULL DATABASE (includes records without species designation),,
ASV_413,No match,COI FULL DATABASE (includes records without species designation),,
ASV_414,No match,COI FULL DATABASE (includes records without species designation),,
ASV_415,No match,COI FULL DATABASE (includes records without species designation),,
ASV_416,No match,COI FULL DATABASE (includes records without species designation),,
ASV_417,No match,COI FULL DATABASE (includes records without species designation),,
ASV_418,No match,COI FULL DATABASE (includes records without species designation),,
ASV_419,No match,COI FULL DATABASE (includes records without species designation),,
ASV_420,Araneae,COI FULL DATABASE (includes records without species designation),100,82.52
ASV_421,No match,COI FULL DATABASE (includes records without species designation),,
ASV_422,No match,COI FULL DATABASE (includes records without species designation),,
ASV_423,No match,COI FULL DATABASE (includes records without species designation),,
ASV_424,No match,COI FULL DATABASE (includes records without species designation),,
ASV_425,Diptera,COI FULL DATABASE (includes records without species designation),98.02,83.66
ASV_426,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
ASV_427,Orthoptera,COI FULL DATABASE (includes records without species designation),100,85.6
ASV_428,Aleurodicus dispersus,COI FULL DATABASE (includes records without species designation),100,100
ASV_429,No match,COI FULL DATABASE (includes records without species designation),,
ASV_430,No match,COI FULL DATABASE (includes records without species designation),,
ASV_431,Blattodea,COI FULL DATABASE (includes records without species designation),100,84.57
ASV_432,Arthropoda Insecta ,COI FULL DATABASE (includes records without species designation),100,82.03
ASV_433,No match,COI FULL DATABASE (includes records without species designation),,
ASV_434,No match,COI FULL DATABASE (includes records without species designation),,
ASV_435,No match,COI FULL DATABASE (includes records without species designation),,
ASV_436,No match,COI FULL DATABASE (includes records without species designation),,
ASV_437,No match,COI FULL DATABASE (includes records without species designation),,
ASV_438,No match,COI FULL DATABASE (includes records without species designation),,
ASV_439,No match,COI FULL DATABASE (includes records without species designation),,
ASV_440,No match,COI FULL DATABASE (includes records without species designation),,
ASV_441,Basidiomycota Insecta ,COI FULL DATABASE (includes records without species designation),100,75.26
ASV_442,No match,COI FULL DATABASE (includes records without species designation),,
ASV_443,No match,COI FULL DATABASE (includes records without species designation),,
ASV_444,No match,COI FULL DATABASE (includes records without species designation),,
ASV_445,No match,COI FULL DATABASE (includes records without species designation),,
ASV_446,No match,COI FULL DATABASE (includes records without species designation),,
ASV_447,No match,COI FULL DATABASE (includes records without species designation),,
ASV_448,No match,COI FULL DATABASE (includes records without species designation),,
ASV_449,No match,COI FULL DATABASE (includes records without species designation),,
ASV_450,No match,COI FULL DATABASE (includes records without species designation),,
ASV_451,No match,COI FULL DATABASE (includes records without species designation),,
ASV_452,No match,COI FULL DATABASE (includes records without species designation),,
ASV_453,No match,COI FULL DATABASE (includes records without species designation),,
ASV_454,No match,COI FULL DATABASE (includes records without species designation),,
ASV_455,No match,COI FULL DATABASE (includes records without species designation),,
ASV_456,No match,COI FULL DATABASE (includes records without species designation),,
ASV_457,No match,COI FULL DATABASE (includes records without species designation),,
ASV_458,No match,COI FULL DATABASE (includes records without species designation),,
ASV_459,No match,COI FULL DATABASE (includes records without species designation),,
ASV_460,No match,COI FULL DATABASE (includes records without species designation),,
ASV_461,No match,COI FULL DATABASE (includes records without species designation),,
ASV_462,No match,COI FULL DATABASE (includes records without species designation),,
ASV_463,No match,COI FULL DATABASE (includes records without species designation),,
ASV_464,No match,COI FULL DATABASE (includes records without species designation),,
ASV_465,Liposcelis bostrychophila,COI FULL DATABASE (includes records without species designation),100,79.61
ASV_466,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_467,No match,COI FULL DATABASE (includes records without species designation),,
ASV_468,No match,COI FULL DATABASE (includes records without species designation),,
ASV_469,No match,COI FULL DATABASE (includes records without species designation),,
ASV_470,No match,COI FULL DATABASE (includes records without species designation),,
ASV_471,No match,COI FULL DATABASE (includes records without species designation),,
ASV_472,Diptera,COI FULL DATABASE (includes records without species designation),100,90.56
ASV_473,Diptera,COI FULL DATABASE (includes records without species designation),100,100
ASV_474,No match,COI FULL DATABASE (includes records without species designation),,
ASV_475,No match,COI FULL DATABASE (includes records without species designation),,
ASV_476,No match,COI FULL DATABASE (includes records without species designation),,
ASV_477,Psocodea,COI FULL DATABASE (includes records without species designation),100,80
ASV_478,No match,COI FULL DATABASE (includes records without species designation),,
ASV_479,No match,COI FULL DATABASE (includes records without species designation),,
ASV_480,No match,COI FULL DATABASE (includes records without species designation),,
ASV_481,No match,COI FULL DATABASE (includes records without species designation),,
ASV_482,No match,COI FULL DATABASE (includes records without species designation),,
ASV_483,Liposcelis decolor,COI FULL DATABASE (includes records without species designation),97.4,75
ASV_484,No match,COI FULL DATABASE (includes records without species designation),,
ASV_485,No match,COI FULL DATABASE (includes records without species designation),,
ASV_486,No match,COI FULL DATABASE (includes records without species designation),,
ASV_487,No match,COI FULL DATABASE (includes records without species designation),,
ASV_488,2012,COI FULL DATABASE (includes records without species designation),99.68,90.29
ASV_489,No match,COI FULL DATABASE (includes records without species designation),,
ASV_490,No match,COI FULL DATABASE (includes records without species designation),,
ASV_491,Fusarium redolens,COI FULL DATABASE (includes records without species designation),99.03,87.06
ASV_492,No match,COI FULL DATABASE (includes records without species designation),,
ASV_493,No match,COI FULL DATABASE (includes records without species designation),,
ASV_494,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.72
ASV_495,No match,COI FULL DATABASE (includes records without species designation),,
ASV_496,No match,COI FULL DATABASE (includes records without species designation),,
ASV_497,No match,COI FULL DATABASE (includes records without species designation),,
ASV_498,No match,COI FULL DATABASE (includes records without species designation),,
ASV_499,No match,COI FULL DATABASE (includes records without species designation),,
ASV_500,No match,COI FULL DATABASE (includes records without species designation),,
