Query ID,Best ID,Search DB,,
Zotu901,No match,COI FULL DATABASE (includes records without species designation),,
Zotu902,No match,COI FULL DATABASE (includes records without species designation),,
Zotu903,No match,COI FULL DATABASE (includes records without species designation),,
Zotu904,No match,COI FULL DATABASE (includes records without species designation),,
Zotu905,No match,COI FULL DATABASE (includes records without species designation),,
Zotu906,No match,COI FULL DATABASE (includes records without species designation),,
Zotu907,No match,COI FULL DATABASE (includes records without species designation),,
Zotu908,No match,COI FULL DATABASE (includes records without species designation),,
Zotu909,No match,COI FULL DATABASE (includes records without species designation),,
Zotu910,No match,COI FULL DATABASE (includes records without species designation),,
Zotu911,No match,COI FULL DATABASE (includes records without species designation),,
Zotu912,No match,COI FULL DATABASE (includes records without species designation),,
Zotu913,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.62,94.82
Zotu914,No match,COI FULL DATABASE (includes records without species designation),,
Zotu915,No match,COI FULL DATABASE (includes records without species designation),,
Zotu916,No match,COI FULL DATABASE (includes records without species designation),,
Zotu917,No match,COI FULL DATABASE (includes records without species designation),,
Zotu918,No match,COI FULL DATABASE (includes records without species designation),,
Zotu919,No match,COI FULL DATABASE (includes records without species designation),,
Zotu920,No match,COI FULL DATABASE (includes records without species designation),,
Zotu921,No match,COI FULL DATABASE (includes records without species designation),,
Zotu922,No match,COI FULL DATABASE (includes records without species designation),,
Zotu923,No match,COI FULL DATABASE (includes records without species designation),,
Zotu924,No match,COI FULL DATABASE (includes records without species designation),,
Zotu925,No match,COI FULL DATABASE (includes records without species designation),,
Zotu926,No match,COI FULL DATABASE (includes records without species designation),,
Zotu927,2014a,COI FULL DATABASE (includes records without species designation),100,80.91
Zotu928,No match,COI FULL DATABASE (includes records without species designation),,
Zotu929,No match,COI FULL DATABASE (includes records without species designation),,
Zotu930,No match,COI FULL DATABASE (includes records without species designation),,
Zotu931,No match,COI FULL DATABASE (includes records without species designation),,
Zotu932,No match,COI FULL DATABASE (includes records without species designation),,
Zotu933,No match,COI FULL DATABASE (includes records without species designation),,
Zotu934,No match,COI FULL DATABASE (includes records without species designation),,
Zotu935,No match,COI FULL DATABASE (includes records without species designation),,
Zotu936,No match,COI FULL DATABASE (includes records without species designation),,
Zotu937,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
Zotu938,No match,COI FULL DATABASE (includes records without species designation),,
Zotu939,No match,COI FULL DATABASE (includes records without species designation),,
Zotu940,Aleurodicus dispersus,COI FULL DATABASE (includes records without species designation),100,100
Zotu941,No match,COI FULL DATABASE (includes records without species designation),,
Zotu942,No match,COI FULL DATABASE (includes records without species designation),,
Zotu943,No match,COI FULL DATABASE (includes records without species designation),,
Zotu944,No match,COI FULL DATABASE (includes records without species designation),,
Zotu945,No match,COI FULL DATABASE (includes records without species designation),,
Zotu946,No match,COI FULL DATABASE (includes records without species designation),,
Zotu947,Ponera swezeyi,COI FULL DATABASE (includes records without species designation),100,100
Zotu948,No match,COI FULL DATABASE (includes records without species designation),,
Zotu949,Araneae,COI FULL DATABASE (includes records without species designation),97.31,85.19
Zotu950,No match,COI FULL DATABASE (includes records without species designation),,
Zotu951,No match,COI FULL DATABASE (includes records without species designation),,
Zotu952,No match,COI FULL DATABASE (includes records without species designation),,
Zotu953,No match,COI FULL DATABASE (includes records without species designation),,
Zotu954,No match,COI FULL DATABASE (includes records without species designation),,
Zotu955,No match,COI FULL DATABASE (includes records without species designation),,
Zotu956,No match,COI FULL DATABASE (includes records without species designation),,
Zotu957,Dermaptera,COI FULL DATABASE (includes records without species designation),97.52,85.62
Zotu958,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,85.76
Zotu959,No match,COI FULL DATABASE (includes records without species designation),,
Zotu960,No match,COI FULL DATABASE (includes records without species designation),,
Zotu961,No match,COI FULL DATABASE (includes records without species designation),,
Zotu962,No match,COI FULL DATABASE (includes records without species designation),,
Zotu963,No match,COI FULL DATABASE (includes records without species designation),,
Zotu964,Dermaptera,COI FULL DATABASE (includes records without species designation),97.89,86.41
Zotu965,No match,COI FULL DATABASE (includes records without species designation),,
Zotu966,No match,COI FULL DATABASE (includes records without species designation),,
Zotu967,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.07
Zotu968,No match,COI FULL DATABASE (includes records without species designation),,
Zotu969,No match,COI FULL DATABASE (includes records without species designation),,
Zotu970,Orthoptera,COI FULL DATABASE (includes records without species designation),98.57,86.67
Zotu971,No match,COI FULL DATABASE (includes records without species designation),,
Zotu972,Linepithema humile,COI FULL DATABASE (includes records without species designation),100,100
Zotu973,No match,COI FULL DATABASE (includes records without species designation),,
Zotu974,Ceresium unicolor,COI FULL DATABASE (includes records without species designation),100,83.82
Zotu975,No match,COI FULL DATABASE (includes records without species designation),,
Zotu976,No match,COI FULL DATABASE (includes records without species designation),,
Zotu977,No match,COI FULL DATABASE (includes records without species designation),,
Zotu978,No match,COI FULL DATABASE (includes records without species designation),,
Zotu979,No match,COI FULL DATABASE (includes records without species designation),,
Zotu980,No match,COI FULL DATABASE (includes records without species designation),,
Zotu981,No match,COI FULL DATABASE (includes records without species designation),,
Zotu982,No match,COI FULL DATABASE (includes records without species designation),,
Zotu983,Dermaptera,COI FULL DATABASE (includes records without species designation),97.89,85.71
Zotu984,No match,COI FULL DATABASE (includes records without species designation),,
Zotu985,No match,COI FULL DATABASE (includes records without species designation),,
Zotu986,No match,COI FULL DATABASE (includes records without species designation),,
Zotu987,Dermaptera,COI FULL DATABASE (includes records without species designation),97.87,85.29
Zotu988,No match,COI FULL DATABASE (includes records without species designation),,
Zotu989,Coleoptera,COI FULL DATABASE (includes records without species designation),100,89.71
Zotu990,Diptera,COI FULL DATABASE (includes records without species designation),100,98.06
Zotu991,Basidiomycota Insecta ,COI FULL DATABASE (includes records without species designation),98.05,77.46
Zotu992,No match,COI FULL DATABASE (includes records without species designation),,
Zotu993,No match,COI FULL DATABASE (includes records without species designation),,
Zotu994,No match,COI FULL DATABASE (includes records without species designation),,
Zotu995,No match,COI FULL DATABASE (includes records without species designation),,
Zotu996,No match,COI FULL DATABASE (includes records without species designation),,
Zotu997,No match,COI FULL DATABASE (includes records without species designation),,
Zotu998,No match,COI FULL DATABASE (includes records without species designation),,
Zotu999,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1000,No match,COI FULL DATABASE (includes records without species designation),,
