Query ID,Best ID,Search DB,,
Zotu1,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
Zotu2,Orthoptera,COI FULL DATABASE (includes records without species designation),100,85.76
Zotu3,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.63,97.09
Zotu4,No match,COI FULL DATABASE (includes records without species designation),,
Zotu5,No match,COI FULL DATABASE (includes records without species designation),,
Zotu6,No match,COI FULL DATABASE (includes records without species designation),,
Zotu7,Araneae,COI FULL DATABASE (includes records without species designation),100,85.52
Zotu8,Dermaptera,COI FULL DATABASE (includes records without species designation),99.65,85.51
Zotu9,Pantala flavescens,COI FULL DATABASE (includes records without species designation),100,99.35
Zotu10,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.68,97.41
Zotu11,No match,COI FULL DATABASE (includes records without species designation),,
Zotu12,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),100,81.94
Zotu13,Theridion melanostictum,COI FULL DATABASE (includes records without species designation),100,91.36
Zotu14,Proteobacteria Arachnida ,COI FULL DATABASE (includes records without species designation),100,98.8
Zotu15,Dermaptera,COI FULL DATABASE (includes records without species designation),100,85.76
Zotu16,No match,COI FULL DATABASE (includes records without species designation),,
Zotu17,Pantala flavescens,COI FULL DATABASE (includes records without species designation),100,99.03
Zotu18,No match,COI FULL DATABASE (includes records without species designation),,
Zotu19,Neoscona theisi,COI FULL DATABASE (includes records without species designation),100,97.73
Zotu20,No match,COI FULL DATABASE (includes records without species designation),,
Zotu21,Platnickina mneon,COI FULL DATABASE (includes records without species designation),100,89.97
Zotu22,No match,COI FULL DATABASE (includes records without species designation),,
Zotu23,Pantala flavescens,COI FULL DATABASE (includes records without species designation),100,98.71
Zotu24,No match,COI FULL DATABASE (includes records without species designation),,
Zotu25,No match,COI FULL DATABASE (includes records without species designation),,
Zotu26,No match,COI FULL DATABASE (includes records without species designation),,
Zotu27,No match,COI FULL DATABASE (includes records without species designation),,
Zotu28,2012,COI FULL DATABASE (includes records without species designation),99.68,90.29
Zotu29,Scholastes lonchifer,COI FULL DATABASE (includes records without species designation),100,88.45
Zotu30,Conoderus pallipes,COI FULL DATABASE (includes records without species designation),100,87.15
Zotu31,No match,COI FULL DATABASE (includes records without species designation),,
Zotu32,Mus musculus,COI FULL DATABASE (includes records without species designation),100,99.35
Zotu33,Isometrus maculatus,COI FULL DATABASE (includes records without species designation),97.09,85.81
Zotu34,No match,COI FULL DATABASE (includes records without species designation),,
Zotu35,No match,COI FULL DATABASE (includes records without species designation),,
Zotu36,No match,COI FULL DATABASE (includes records without species designation),,
Zotu37,No match,COI FULL DATABASE (includes records without species designation),,
Zotu38,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.75,90.91
Zotu39,No match,COI FULL DATABASE (includes records without species designation),,
Zotu40,No match,COI FULL DATABASE (includes records without species designation),,
Zotu41,Anisolabis maritima,COI FULL DATABASE (includes records without species designation),100,88.03
Zotu42,Nylanderia bourbonica,COI FULL DATABASE (includes records without species designation),100,98.71
Zotu43,Rickettsiales,COI FULL DATABASE (includes records without species designation),99.44,98.94
Zotu44,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.41
Zotu45,Dermaptera,COI FULL DATABASE (includes records without species designation),98.25,85.44
Zotu46,Orthoptera,COI FULL DATABASE (includes records without species designation),97.62,86.41
Zotu47,Rickettsiales,COI FULL DATABASE (includes records without species designation),99.25,96.42
Zotu48,No match,COI FULL DATABASE (includes records without species designation),,
Zotu49,Blattodea,COI FULL DATABASE (includes records without species designation),100,84.77
Zotu50,Araneae,COI FULL DATABASE (includes records without species designation),98.06,90.42
Zotu51,No match,COI FULL DATABASE (includes records without species designation),,
Zotu52,Orthoptera,COI FULL DATABASE (includes records without species designation),97.73,86.59
Zotu53,Psocodea,COI FULL DATABASE (includes records without species designation),100,100
Zotu54,No match,COI FULL DATABASE (includes records without species designation),,
Zotu55,Orthoptera,COI FULL DATABASE (includes records without species designation),97.06,85.62
