Query ID,Best ID,Search DB,,
ASV_901,No match,COI SPECIES DATABASE,,
ASV_902,Cadrema pallida,COI SPECIES DATABASE,100,92.39
ASV_903,Tapinoma melanocephalum,COI SPECIES DATABASE,99.68,96.44
ASV_904,No match,COI SPECIES DATABASE,,
ASV_905,No match,COI SPECIES DATABASE,,
ASV_906,No match,COI SPECIES DATABASE,,
ASV_907,No match,COI SPECIES DATABASE,,
ASV_908,No match,COI SPECIES DATABASE,,
ASV_909,No match,COI SPECIES DATABASE,,
ASV_910,No match,COI SPECIES DATABASE,,
ASV_911,No match,COI SPECIES DATABASE,,
ASV_912,No match,COI SPECIES DATABASE,,
ASV_913,No match,COI SPECIES DATABASE,,
ASV_914,No match,COI SPECIES DATABASE,,
ASV_915,No match,COI SPECIES DATABASE,,
ASV_916,No match,COI SPECIES DATABASE,,
ASV_917,No match,COI SPECIES DATABASE,,
ASV_918,No match,COI SPECIES DATABASE,,
ASV_919,No match,COI SPECIES DATABASE,,
ASV_920,No match,COI SPECIES DATABASE,,
ASV_921,No match,COI SPECIES DATABASE,,
ASV_922,No match,COI SPECIES DATABASE,,
ASV_923,No match,COI SPECIES DATABASE,,
ASV_924,Periplaneta australasiae,COI SPECIES DATABASE,99.68,90.94
ASV_925,No match,COI SPECIES DATABASE,,
ASV_926,No match,COI SPECIES DATABASE,,
ASV_927,No match,COI SPECIES DATABASE,,
ASV_928,No match,COI SPECIES DATABASE,,
ASV_929,No match,COI SPECIES DATABASE,,
ASV_930,No match,COI SPECIES DATABASE,,
ASV_931,No match,COI SPECIES DATABASE,,
ASV_932,Pheidole megacephala,COI SPECIES DATABASE,100,100
ASV_933,Fusarium proliferatum,COI SPECIES DATABASE,100,85.44
ASV_934,No match,COI SPECIES DATABASE,,
ASV_935,No match,COI SPECIES DATABASE,,
ASV_936,No match,COI SPECIES DATABASE,,
ASV_937,No match,COI SPECIES DATABASE,,
ASV_938,No match,COI SPECIES DATABASE,,
ASV_939,No match,COI SPECIES DATABASE,,
ASV_940,No match,COI SPECIES DATABASE,,
ASV_941,No match,COI SPECIES DATABASE,,
ASV_942,No match,COI SPECIES DATABASE,,
ASV_943,No match,COI SPECIES DATABASE,,
ASV_944,No match,COI SPECIES DATABASE,,
ASV_945,No match,COI SPECIES DATABASE,,
ASV_946,No match,COI SPECIES DATABASE,,
ASV_947,No match,COI SPECIES DATABASE,,
ASV_948,No match,COI SPECIES DATABASE,,
ASV_949,No match,COI SPECIES DATABASE,,
ASV_950,No match,COI SPECIES DATABASE,,
ASV_951,No match,COI SPECIES DATABASE,,
ASV_952,No match,COI SPECIES DATABASE,,
ASV_953,No match,COI SPECIES DATABASE,,
ASV_954,No match,COI SPECIES DATABASE,,
ASV_955,No match,COI SPECIES DATABASE,,
ASV_956,No match,COI SPECIES DATABASE,,
ASV_957,No match,COI SPECIES DATABASE,,
ASV_958,Aleurodicus dispersus,COI SPECIES DATABASE,100,100
ASV_959,No match,COI SPECIES DATABASE,,
ASV_960,No match,COI SPECIES DATABASE,,
ASV_961,No match,COI SPECIES DATABASE,,
ASV_962,No match,COI SPECIES DATABASE,,
ASV_963,No match,COI SPECIES DATABASE,,
ASV_964,No match,COI SPECIES DATABASE,,
ASV_965,No match,COI SPECIES DATABASE,,
ASV_966,No match,COI SPECIES DATABASE,,
ASV_967,No match,COI SPECIES DATABASE,,
ASV_968,No match,COI SPECIES DATABASE,,
ASV_969,No match,COI SPECIES DATABASE,,
ASV_970,No match,COI SPECIES DATABASE,,
ASV_971,No match,COI SPECIES DATABASE,,
ASV_972,No match,COI SPECIES DATABASE,,
ASV_973,No match,COI SPECIES DATABASE,,
ASV_974,No match,COI SPECIES DATABASE,,
ASV_975,No match,COI SPECIES DATABASE,,
ASV_976,No match,COI SPECIES DATABASE,,
ASV_977,No match,COI SPECIES DATABASE,,
ASV_978,No match,COI SPECIES DATABASE,,
ASV_979,No match,COI SPECIES DATABASE,,
ASV_980,No match,COI SPECIES DATABASE,,
ASV_981,No match,COI SPECIES DATABASE,,
ASV_982,No match,COI SPECIES DATABASE,,
ASV_983,No match,COI SPECIES DATABASE,,
ASV_984,No match,COI SPECIES DATABASE,,
ASV_985,Mus musculus,COI SPECIES DATABASE,99.64,99.03
ASV_986,No match,COI SPECIES DATABASE,,
ASV_987,No match,COI SPECIES DATABASE,,
ASV_988,No match,COI SPECIES DATABASE,,
ASV_989,Mus musculus,COI SPECIES DATABASE,99.28,98.71
ASV_990,No match,COI SPECIES DATABASE,,
ASV_991,No match,COI SPECIES DATABASE,,
ASV_992,No match,COI SPECIES DATABASE,,
ASV_993,No match,COI SPECIES DATABASE,,
ASV_994,No match,COI SPECIES DATABASE,,
ASV_995,No match,COI SPECIES DATABASE,,
ASV_996,Homo sapiens,COI SPECIES DATABASE,100,100
ASV_997,Dermatophagoides sp. WH_1,COI SPECIES DATABASE,100,86.73
ASV_998,No match,COI SPECIES DATABASE,,
ASV_999,No match,COI SPECIES DATABASE,,
ASV_1000,No match,COI SPECIES DATABASE,,
