Query ID,Best ID,Search DB,,
ASV_1601,Penicillium citrinum,COI FULL DATABASE (includes records without species designation),97.74,94.92
ASV_1602,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1603,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1604,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1605,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1606,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1607,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1608,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1609,Entomobryomorpha,COI FULL DATABASE (includes records without species designation),98.69,93.79
ASV_1610,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1611,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1612,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1613,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1614,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1615,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1616,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1617,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1618,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1619,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1620,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1621,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1622,Dermaptera,COI FULL DATABASE (includes records without species designation),97.76,85.89
ASV_1623,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1624,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1625,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1626,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1627,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1628,Araneae,COI FULL DATABASE (includes records without species designation),98.5,81.7
ASV_1629,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1630,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),99.67,81.69
ASV_1631,Cochliopodium sp.,COI FULL DATABASE (includes records without species designation),99.03,79.87
ASV_1632,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1633,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.4,90.37
ASV_1634,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1635,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1636,Dermatophagoides sp. WH_1,COI FULL DATABASE (includes records without species designation),100,87.5
ASV_1637,2012,COI FULL DATABASE (includes records without species designation),99.61,90.31
ASV_1638,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.11,90.24
ASV_1639,No match,COI FULL DATABASE (includes records without species designation),,
