Query ID,Best ID,Search DB,,
ASV_701,No match,COI FULL DATABASE (includes records without species designation),,
ASV_702,No match,COI FULL DATABASE (includes records without species designation),,
ASV_703,2012,COI FULL DATABASE (includes records without species designation),99.61,90.31
ASV_704,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.11,90.24
ASV_705,No match,COI FULL DATABASE (includes records without species designation),,
ASV_706,No match,COI FULL DATABASE (includes records without species designation),,
ASV_707,No match,COI FULL DATABASE (includes records without species designation),,
ASV_708,No match,COI FULL DATABASE (includes records without species designation),,
ASV_709,No match,COI FULL DATABASE (includes records without species designation),,
ASV_710,Orthoptera,COI FULL DATABASE (includes records without species designation),98.78,85.61
ASV_711,No match,COI FULL DATABASE (includes records without species designation),,
ASV_712,No match,COI FULL DATABASE (includes records without species designation),,
ASV_713,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),100,81.55
ASV_714,No match,COI FULL DATABASE (includes records without species designation),,
ASV_715,No match,COI FULL DATABASE (includes records without species designation),,
ASV_716,No match,COI FULL DATABASE (includes records without species designation),,
ASV_717,No match,COI FULL DATABASE (includes records without species designation),,
ASV_718,No match,COI FULL DATABASE (includes records without species designation),,
ASV_719,No match,COI FULL DATABASE (includes records without species designation),,
ASV_720,No match,COI FULL DATABASE (includes records without species designation),,
ASV_721,No match,COI FULL DATABASE (includes records without species designation),,
ASV_722,No match,COI FULL DATABASE (includes records without species designation),,
ASV_723,No match,COI FULL DATABASE (includes records without species designation),,
ASV_724,No match,COI FULL DATABASE (includes records without species designation),,
ASV_725,No match,COI FULL DATABASE (includes records without species designation),,
ASV_726,No match,COI FULL DATABASE (includes records without species designation),,
ASV_727,No match,COI FULL DATABASE (includes records without species designation),,
ASV_728,No match,COI FULL DATABASE (includes records without species designation),,
ASV_729,No match,COI FULL DATABASE (includes records without species designation),,
ASV_730,No match,COI FULL DATABASE (includes records without species designation),,
ASV_731,No match,COI FULL DATABASE (includes records without species designation),,
ASV_732,No match,COI FULL DATABASE (includes records without species designation),,
ASV_733,No match,COI FULL DATABASE (includes records without species designation),,
ASV_734,No match,COI FULL DATABASE (includes records without species designation),,
ASV_735,No match,COI FULL DATABASE (includes records without species designation),,
ASV_736,No match,COI FULL DATABASE (includes records without species designation),,
ASV_737,No match,COI FULL DATABASE (includes records without species designation),,
ASV_738,No match,COI FULL DATABASE (includes records without species designation),,
ASV_739,No match,COI FULL DATABASE (includes records without species designation),,
ASV_740,No match,COI FULL DATABASE (includes records without species designation),,
ASV_741,No match,COI FULL DATABASE (includes records without species designation),,
ASV_742,Orthoptera,COI FULL DATABASE (includes records without species designation),98.84,86.11
ASV_743,No match,COI FULL DATABASE (includes records without species designation),,
ASV_744,Orthoptera,COI FULL DATABASE (includes records without species designation),99.39,85.48
ASV_745,No match,COI FULL DATABASE (includes records without species designation),,
ASV_746,Orthoptera,COI FULL DATABASE (includes records without species designation),99.52,86
ASV_747,No match,COI FULL DATABASE (includes records without species designation),,
ASV_748,No match,COI FULL DATABASE (includes records without species designation),,
ASV_749,No match,COI FULL DATABASE (includes records without species designation),,
ASV_750,No match,COI FULL DATABASE (includes records without species designation),,
ASV_751,Orthoptera,COI FULL DATABASE (includes records without species designation),99.39,85.71
ASV_752,No match,COI FULL DATABASE (includes records without species designation),,
ASV_753,No match,COI FULL DATABASE (includes records without species designation),,
ASV_754,No match,COI FULL DATABASE (includes records without species designation),,
ASV_755,No match,COI FULL DATABASE (includes records without species designation),,
ASV_756,No match,COI FULL DATABASE (includes records without species designation),,
ASV_757,No match,COI FULL DATABASE (includes records without species designation),,
ASV_758,No match,COI FULL DATABASE (includes records without species designation),,
ASV_759,Orthoptera,COI FULL DATABASE (includes records without species designation),98.57,84.74
ASV_760,No match,COI FULL DATABASE (includes records without species designation),,
ASV_761,No match,COI FULL DATABASE (includes records without species designation),,
